ticker,company_name,sector,fiscal_period,earnings_date,time_of_day,source_url
AAPL,Apple Inc.,Technology,Q3 FY2024,2024-08-01,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
AAPL,Apple Inc.,Technology,Q4 FY2024,2024-10-31,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
AAPL,Apple Inc.,Technology,Q1 FY2025,2025-01-30,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
AAPL,Apple Inc.,Technology,Q2 FY2025,2025-05-01,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
AAPL,Apple Inc.,Technology,Q3 FY2025,2025-07-31,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
AAPL,Apple Inc.,Technology,Q4 FY2025,2025-10-30,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
AAPL,Apple Inc.,Technology,Q1 FY2026,2026-01-29,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
AAPL,Apple Inc.,Technology,Q2 FY2026,2026-04-30,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
AAPL,Apple Inc.,Technology,Q3 FY2026,2026-07-30,AMC,https://www.marketbeat.com/stocks/NASDAQ/AAPL/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AAPL
MSFT,Microsoft Corporation,Technology,Q1 FY2025,2024-10-30,AMC,https://www.marketbeat.com/stocks/NASDAQ/MSFT/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=MSFT
MSFT,Microsoft Corporation,Technology,Q2 FY2025,2025-01-29,AMC,https://www.marketbeat.com/stocks/NASDAQ/MSFT/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=MSFT
MSFT,Microsoft Corporation,Technology,Q3 FY2025,2025-04-30,AMC,https://www.marketbeat.com/stocks/NASDAQ/MSFT/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=MSFT
MSFT,Microsoft Corporation,Technology,Q4 FY2025,2025-07-30,AMC,https://www.marketbeat.com/stocks/NASDAQ/MSFT/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=MSFT
MSFT,Microsoft Corporation,Technology,Q1 FY2026,2025-10-29,AMC,https://www.marketbeat.com/stocks/NASDAQ/MSFT/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=MSFT
MSFT,Microsoft Corporation,Technology,Q2 FY2026,2026-01-28,AMC,https://www.marketbeat.com/stocks/NASDAQ/MSFT/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=MSFT
MSFT,Microsoft Corporation,Technology,Q3 FY2026,2026-04-29,AMC,https://www.marketbeat.com/stocks/NASDAQ/MSFT/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=MSFT
MSFT,Microsoft Corporation,Technology,Q4 FY2026,2026-07-29,AMC,https://www.marketbeat.com/stocks/NASDAQ/MSFT/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=MSFT
NVDA,NVIDIA Corporation,Technology,Q3 FY2025,2024-11-20,AMC,https://www.marketbeat.com/stocks/NASDAQ/NVDA/earnings/
NVDA,NVIDIA Corporation,Technology,Q4 FY2025,2025-02-26,AMC,https://www.marketbeat.com/stocks/NASDAQ/NVDA/earnings/
NVDA,NVIDIA Corporation,Technology,Q1 FY2026,2025-05-28,AMC,https://www.marketbeat.com/stocks/NASDAQ/NVDA/earnings/
NVDA,NVIDIA Corporation,Technology,Q2 FY2026,2025-08-27,AMC,https://www.marketbeat.com/stocks/NASDAQ/NVDA/earnings/
NVDA,NVIDIA Corporation,Technology,Q3 FY2026,2025-11-19,AMC,https://www.marketbeat.com/stocks/NASDAQ/NVDA/earnings/
NVDA,NVIDIA Corporation,Technology,Q4 FY2026,2026-02-25,AMC,https://www.marketbeat.com/stocks/NASDAQ/NVDA/earnings/
NVDA,NVIDIA Corporation,Technology,Q1 FY2027,2026-05-20,AMC,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-first-quarter-fiscal-2027
NVDA,NVIDIA Corporation,Technology,Q2 FY2027,2026-08-26,AMC,https://www.marketbeat.com/stocks/NASDAQ/NVDA/earnings/
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Q3 2024,2024-10-31,AMC,https://www.marketbeat.com/stocks/NASDAQ/AMZN/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AMZN
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Q4 2024,2025-02-06,AMC,https://www.marketbeat.com/stocks/NASDAQ/AMZN/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AMZN
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Q1 2025,2025-05-01,AMC,https://www.marketbeat.com/stocks/NASDAQ/AMZN/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AMZN
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Q2 2025,2025-07-31,AMC,https://www.marketbeat.com/stocks/NASDAQ/AMZN/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AMZN
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Q3 2025,2025-10-30,AMC,https://www.marketbeat.com/stocks/NASDAQ/AMZN/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AMZN
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Q4 2025,2026-02-05,AMC,https://www.marketbeat.com/stocks/NASDAQ/AMZN/earnings/ ; https://www.streetinsider.com/ec_earnings.php?q=AMZN
